(35-249)	Sim: 0.04729837698404022
(35-267)	Sim: 0.05716619504750295
(35-275)	Sim: 0.15430334996209194
(35-293)	Sim: 0.1091089451179962
(35-327)	Sim: 0.14433756729740646
(35-334)	Sim: 0.4364357804719848
(35-351)	Sim: 0.08333333333333334
(35-393)	Sim: 0.17407765595569785
(35-398)	Sim: 0.18257418583505536
(35-404)	Sim: 0.2581988897471611
(35-444)	Sim: 0.08164965809277261
(36-37)	Sim: 0.13363062095621217
(36-76)	Sim: 0.0839181358296689
(36-120)	Sim: 0.09128709291752767
(36-125)	Sim: 0.06942101345006232
(36-185)	Sim: 0.26726124191242434
(36-195)	Sim: 0.22360679774997896
(36-227)	Sim: 0.17677669529663687
(36-245)	Sim: 0.4999999999999999
(36-249)	Sim: 0.11585688927269845
(36-296)	Sim: 0.31622776601683794
(36-308)	Sim: 0.0753778361444409
(36-324)	Sim: 0.259160527674408
(36-345)	Sim: 0.2700308624336608
(36-351)	Sim: 0.10206207261596574
(36-367)	Sim: 0.15811388300841897
(36-398)	Sim: 0.22360679774997896
(37-39)	Sim: 0.13363062095621217
(37-56)	Sim: 0.13363062095621217
(37-58)	Sim: 0.1889822365046136
(37-59)	Sim: 0.14638501094227996
(37-70)	Sim: 0.13363062095621217
(37-76)	Sim: 0.13456839120487699
(37-84)	Sim: 0.1091089451179962
(37-87)	Sim: 0.26726124191242434
(37-92)	Sim: 0.08451542547285164
(37-96)	Sim: 0.1889822365046136
(37-102)	Sim: 0.08451542547285164
(37-103)	Sim: 0.062136976600120006
(37-107)	Sim: 0.053586382215424326
(37-109)	Sim: 0.06503324771430899
(37-110)	Sim: 0.07142857142857142
(37-117)	Sim: 0.13363062095621217
(37-120)	Sim: 0.04879500364742665
(37-121)	Sim: 0.0890870806374748
(37-125)	Sim: 0.18553546269482774
(37-128)	Sim: 0.03857583749052298
(37-134)	Sim: 0.1889822365046136
(37-153)	Sim: 0.03394221166510653
(37-167)	Sim: 0.14285714285714285
(37-172)	Sim: 0.26726124191242434
(37-174)	Sim: 0.08451542547285164
(37-175)	Sim: 0.13363062095621217
(37-183)	Sim: 0.0445435403187374
(37-184)	Sim: 0.06681531047810609
(37-188)	Sim: 0.1889822365046136
(37-189)	Sim: 0.04879500364742665
(37-202)	Sim: 0.23904572186687872
(37-206)	Sim: 0.1889822365046136
(37-211)	Sim: 0.1259881576697424
(37-213)	Sim: 0.029514066805047763
(37-221)	Sim: 0.08620832027071171
(37-222)	Sim: 0.09723055853282465
(37-231)	Sim: 0.09851380077988758
(37-237)	Sim: 0.07715167498104596
(37-240)	Sim: 0.1889822365046136
(37-246)	Sim: 0.1889822365046136
(37-247)	Sim: 0.05976143046671968
(37-249)	Sim: 0.09289216833339486
(37-252)	Sim: 0.10482848367219183
(37-260)	Sim: 0.13750477455423168
(37-267)	Sim: 0.05613608914238398
(37-275)	Sim: 0.15152288168283162
(37-281)	Sim: 0.028490144114909487
(37-285)	Sim: 0.1543033499620919
(37-293)	Sim: 0.10714285714285712
(37-295)	Sim: 0.1889822365046136
(37-297)	Sim: 0.1543033499620919
(37-308)	Sim: 0.10072787050317253
(37-312)	Sim: 0.11145564251507056
(37-313)	Sim: 0.13363062095621217
(37-315)	Sim: 0.1543033499620919
(37-324)	Sim: 0.20779069344282455
(37-329)	Sim: 0.1889822365046136
(37-334)	Sim: 0.07142857142857142
(37-344)	Sim: 0.03940552031195503
(37-345)	Sim: 0.041239304942116126
(37-351)	Sim: 0.0545544725589981
(37-354)	Sim: 0.04335549847620599
(37-356)	Sim: 0.0944911182523068
(37-357)	Sim: 0.041239304942116126
(37-358)	Sim: 0.1889822365046136
(37-367)	Sim: 0.08451542547285164
(37-368)	Sim: 0.1543033499620919
(37-369)	Sim: 0.09166984970282112
(37-371)	Sim: 0.15762208124782012
(37-375)	Sim: 0.2182178902359924
(37-400)	Sim: 0.20032077005375098
(37-403)	Sim: 0.04225771273642582
(37-408)	Sim: 0.20044593143431827
(37-411)	Sim: 0.1091089451179962
(37-419)	Sim: 0.07715167498104596
(37-420)	Sim: 0.19702760155977517
(37-422)	Sim: 0.1259881576697424
(37-427)	Sim: 0.0629940788348712
(37-429)	Sim: 0.1091089451179962
(37-435)	Sim: 0.03857583749052298
(37-440)	Sim: 0.13363062095621217
(37-443)	Sim: 0.1889822365046136
(37-444)	Sim: 0.026726124191242435
(38-51)	Sim: 0.8164965809277261
(38-70)	Sim: 0.7071067811865475
(38-97)	Sim: 0.24253562503633297
(38-109)	Sim: 0.11470786693528087
(38-187)	Sim: 0.7071067811865475
(38-292)	Sim: 0.4082482904638631
(38-435)	Sim: 0.4082482904638631
(39-109)	Sim: 0.08111071056538126
(39-159)	Sim: 0.40824829046386296
(39-221)	Sim: 0.053760333057047034
(39-249)	Sim: 0.057928444636349226
(39-252)	Sim: 0.19611613513818402
(39-267)	Sim: 0.07001400420140048
(39-345)	Sim: 0.07715167498104596
(39-422)	Sim: 0.2357022603955158
(39-439)	Sim: 0.4999999999999999
(40-61)	Sim: 0.24253562503633297
(40-128)	Sim: 0.20412414523193154
(40-184)	Sim: 0.35355339059327373
(40-289)	Sim: 0.2
(40-308)	Sim: 0.10660035817780521
(40-312)	Sim: 0.14744195615489714
(40-344)	Sim: 0.20851441405707477
(40-354)	Sim: 0.11470786693528087
(40-397)	Sim: 0.20851441405707477
(41-125)	Sim: 0.06942101345006232
(41-213)	Sim: 0.22086305214969307
(41-367)	Sim: 0.31622776601683794
(42-109)	Sim: 0.11470786693528087
(42-249)	Sim: 0.08192319205190406
(42-252)	Sim: 0.2773500981126146
(42-277)	Sim: 0.4082482904638631
(42-308)	Sim: 0.10660035817780521
(42-312)	Sim: 0.14744195615489714
(42-378)	Sim: 0.18257418583505536
(43-53)	Sim: 0.31622776601683794
(43-141)	Sim: 0.4472135954999579
(43-202)	Sim: 0.31622776601683794
(43-308)	Sim: 0.21320071635561041
(43-396)	Sim: 0.2581988897471611
(43-407)	Sim: 0.2886751345948129
(44-125)	Sim: 0.0490880693673816
(44-146)	Sim: 0.35355339059327373
(44-168)	Sim: 0.3333333333333333
(44-196)	Sim: 0.23904572186687872
(44-221)	Sim: 0.07602859212697055
(44-267)	Sim: 0.09901475429766744
(45-125)	Sim: 0.0490880693673816
(45-213)	Sim: 0.15617376188860607
(45-221)	Sim: 0.1520571842539411
(45-267)	Sim: 0.09901475429766744
(45-279)	Sim: 0.5
(45-292)	Sim: 0.4082482904638631
(45-294)	Sim: 0.4082482904638631
(45-330)	Sim: 0.22360679774997896
(45-403)	Sim: 0.11180339887498948
(46-176)	Sim: 0.35355339059327373
(46-196)	Sim: 0.08451542547285165
(46-221)	Sim: 0.053760333057047034
(46-238)	Sim: 0.22360679774997896
(46-256)	Sim: 0.22360679774997896
(46-267)	Sim: 0.07001400420140048
(46-353)	Sim: 0.2357022603955158
(46-364)	Sim: 0.12909944487358055
(46-392)	Sim: 0.18257418583505533
(46-416)	Sim: 0.19611613513818402
(47-97)	Sim: 0.24253562503633297
(47-107)	Sim: 0.07088812050083358
(47-109)	Sim: 0.11470786693528087
(47-125)	Sim: 0.0490880693673816
(47-256)	Sim: 0.31622776601683794
(47-353)	Sim: 0.3333333333333333
(47-360)	Sim: 0.7071067811865475
(48-94)	Sim: 0.2581988897471611
(48-163)	Sim: 0.4082482904638631
(48-196)	Sim: 0.11952286093343936
(48-198)	Sim: 0.23570226039551587
(48-221)	Sim: 0.07602859212697055
